code,name,slug,description,provider,category_id,denom,price_sell,price_buy,admin_fee,status,service_id,,
YSB90,BY.U 90000,by-u-90000,,TELKOMSEL,6,0,92594,91594,0,1,1,,
YIFC3,"Combo L, 4+8GB 4G, 30hr",combo-l-48gb-4g-30hr,,INDOSAT,11,0,104975,103975,0,1,1,,
YIFC1,"Combo M, 2+3GB 4G, 30hr",combo-m-23gb-4g-30hr,,INDOSAT,11,0,67575,66575,0,1,1,,
YIFC5,"Combo XL, 8+12GB 4G, 30hr",combo-xl-812gb-4g-30hr,,INDOSAT,11,0,155975,154975,0,1,1,,
YXCX10,COMBO XTRA 10GB+10GB ytb+40mnt 30Hr,combo-xtra-10gb10gb-ytb40mnt-30hr,,XL,7,0,85975,84975,0,1,1,,
YXCX15,COMBO XTRA 15GB+15GB ytb+60mnt 30hr,combo-xtra-15gb15gb-ytb60mnt-30hr,,XL,7,0,118975,117975,0,1,1,,
YXCX20,COMBO XTRA 20GB+20GB ytb+60mnt 30hr,combo-xtra-20gb20gb-ytb60mnt-30hr,,XL,7,0,164975,163975,0,1,1,,
YXCX35,"COMBO XTRA 35GB+35GB ytb+60mnt, 30hr",combo-xtra-35gb35gb-ytb60mnt-30hr,,XL,7,0,221975,220975,0,1,1,,
YXCX5,COMBO XTRA 5GB+5GB ytb+20Mnt 30Hr,combo-xtra-5gb5gb-ytb20mnt-30hr,,XL,7,0,57975,56975,0,1,1,,
YSDF100,FLASH 100MB 7Hr,flash-100mb-7hr,,TELKOMSEL,6,0,8750,7750,0,1,1,,
YSDF1,FLASH 1GB 30Hr,flash-1gb-30hr,,TELKOMSEL,6,0,18275,17275,0,1,1,,
YSDF250,FLASH 250MB 7Hr,flash-250mb-7hr,,TELKOMSEL,6,0,10975,9975,0,1,1,,
YSDF2,FLASH 2GB 30Hr,flash-2gb-30hr,,TELKOMSEL,6,0,33425,32425,0,1,1,,
YSDF3,FLASH 3GB 30Hr,flash-3gb-30hr,,TELKOMSEL,6,0,45975,44975,0,1,1,,
YSDF4,FLASH 4GB 30Hr,flash-4gb-30hr,,TELKOMSEL,6,0,57975,56975,0,1,1,,
YSDF500,FLASH 500MB 15Hr,flash-500mb-15hr,,TELKOMSEL,6,0,12975,11975,0,1,1,,
YSDF5,FLASH 5GB 30Hr,flash-5gb-30hr,,TELKOMSEL,6,0,61975,60975,0,1,1,,
YSDF8,FLASH 8GB 30Hr,flash-8gb-30hr,,TELKOMSEL,6,0,68975,67975,0,1,1,,
YXDF100,FLAT 100MB 30HR,flat-100mb-30hr,,XL,7,0,4650,3650,0,1,1,,
YXDF1,FLAT 1GB 30HR,flat-1gb-30hr,,XL,7,0,13975,12975,0,1,1,,
YXDF2,FLAT 2GB 30HR,flat-2gb-30hr,,XL,7,0,24975,23975,0,1,1,,
YXDF3,FLAT 3GB 30HR,flat-3gb-30hr,,XL,7,0,37975,36975,0,1,1,,
YXDF4,FLAT 4GB 30HR,flat-4gb-30hr,,XL,7,0,47975,46975,0,1,1,,
YXDF500,FLAT 500MB 30HR,flat-500mb-30hr,,XL,7,0,8975,7975,0,1,1,,
YXDF5,FLAT 5GB 30HR,flat-5gb-30hr,,XL,7,0,58975,57975,0,1,1,,
YXDF6,FLAT 6GB 30HR,flat-6gb-30hr,,XL,7,0,61975,60975,0,1,1,,
YXDF800,FLAT 800MB 30HR,flat-800mb-30hr,,XL,7,0,10975,9975,0,1,1,,
YXDF8,FLAT 8GB 30HR,flat-8gb-30hr,,XL,7,0,81975,80975,0,1,1,,
YIDFH2,Freedom 14GB 14Hr (1GB/hr),freedom-14gb-14hr-1gb-hr,,INDOSAT,11,0,51825,50825,0,1,1,,
YIDF4,Freedom 18GB 30Hr,freedom-18gb-30hr,,INDOSAT,11,0,74850,73850,0,1,1,,
YIDF5,Freedom 25GB 30Hr,freedom-25gb-30hr,,INDOSAT,11,0,91975,90975,0,1,1,,
YIDFH3,Freedom 28GB 28Hr (1GB/hr),freedom-28gb-28hr-1gb-hr,,INDOSAT,11,0,89875,88875,0,1,1,,
YIDF1,Freedom 2GB 30Hr,freedom-2gb-30hr,,INDOSAT,11,0,19975,18975,0,1,1,,
YIDF2,Freedom 3GB 30Hr,freedom-3gb-30hr,,INDOSAT,11,0,28750,27750,0,1,1,,
YIDFH1,Freedom 7GB 7Hr (1GB/hr),freedom-7gb-7hr-1gb-hr,,INDOSAT,11,0,29725,28725,0,1,1,,
YIDF3,Freedom 9GB 30Hr,freedom-9gb-30hr,,INDOSAT,11,0,49950,48950,0,1,1,,
YTGM2,GETMORE 2GB + 2GB Youtube 30Hr,getmore-2gb-2gb-youtube-30hr,,TRI,8,0,22325,21325,0,1,1,,
YTGM3,GETMORE 4GB + 4GB Youtube 30Hr,getmore-4gb-4gb-youtube-30hr,,TRI,8,0,35500,34500,0,1,1,,
YTGM5,GETMORE 5GB + 5GB Youtube 30Hr,getmore-5gb-5gb-youtube-30hr,,TRI,8,0,40400,39400,0,1,1,,
YSDG12,GigaMax 12GB + 30GB MaxStream 30Hr,gigamax-12gb-30gb-maxstream-30hr,,TELKOMSEL,6,0,154850,153850,0,1,1,,
YSDG1,GigaMax 1GB + 5GB MaxStream 30Hr,gigamax-1gb-5gb-maxstream-30hr,,TELKOMSEL,6,0,27500,26500,0,1,1,,
YSDG2,GigaMax 2GB + 10GB MaxStream 30Hr,gigamax-2gb-10gb-maxstream-30hr,,TELKOMSEL,6,0,54295,53295,0,1,1,,
YSDG6,GigaMax 6GB + 20GB MaxStream 30Hr,gigamax-6gb-20gb-maxstream-30hr,,TELKOMSEL,6,0,100900,99900,0,1,1,,
YGP100,Google Play ID 100rb,google-play-id-100rb,,GOOGLE PLAY,0,50000,102970,101970,0,1,1,,
YGP150,Google Play ID 150rb,google-play-id-150rb,,GOOGLE PLAY,0,100000,151750,150750,0,1,1,,
